REVIEW_ID;PRODUCT_ID;CUSTOMER_ID;COUNTRY;REVIEW_DATE;REVIEW_TITLE;REVIEW_TEXT
1000;RC-1054;100000000;US;2017-01-01T00:00:00Z;Three stars;Three start. I have some issues like some keys don't work on first instance..and is somewhat slow also
1001;EB-1137;100000001;CA;2017-01-02T00:00:00Z;Too hot;Heating and not wake up. Check twice when buy it on Offer.
1002;BX-1016;100000002;DE;2017-01-03T00:00:00Z;2nd hand;2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!
1003;RO-1001;100000003;US;2017-01-04T00:00:00Z;Best price value; No technical marvel but seems to be the best laptop in a price segment of Rs 55-60K.
1004;RO-1001;100000004;CA;2017-01-05T00:00:00Z;Second hand;Very disappointed as this seems to be a second hand product! Moreover the battery power is very low (stand by power is only 4 hour). Maybe it is because it was used already otherwise this is not a reasonably practicable device!
1005;EB-1135;100000005;DE;2017-01-06T00:00:00Z;Very bad; very bad. My product is not working what do I do ? I have paid everything! This is very very bad .
1006;BX-1016;100000006;US;2017-01-07T00:00:00Z;Waste of money; waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode. I cannot recommend it at all and I am very disappointed.
1007;RC-1057;100000007;CA;2017-01-08T00:00:00Z;Good product; Good product. But we are not getting on line support for any operation issue in ipad.
1008;RC-1053;100000008;DE;2017-01-09T00:00:00Z;One star; One star. scanner not working... tried 2 contact amazon.. not picking
1009;CC-1023;100000009;US;2017-01-10T00:00:00Z;5/5 stars; Amazing product and great delivery by Amazon. Kudos to both
1010;RC-1052;100000010;CA;2017-01-11T00:00:00Z;3 stars; Three star. very low memory. Not good buy.
1011;HB-1176;100000011;DE;2017-01-12T00:00:00Z;battery bad; Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product.
1012;DB-1081;100000012;US;2017-01-13T00:00:00Z;very happy; not a good product. charger not working after week use
1013;RC-1054;100000013;CA;2017-01-14T00:00:00Z;Too expensive; better laptop is available in this price segment.
1014;CC-1021;100000014;DE;2017-01-15T00:00:00Z;Bad experiences;  have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating
1015;RO-1001;100000015;US;2017-01-16T00:00:00Z;Bad display; Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy..
1016;HB-1175;100000016;CA;2017-01-17T00:00:00Z;Broke after 2 months; It has been just 2 months and the device has already stopped functioning. It doesnt turn on. I need a replacement. I am very angry and disappointed.
1017;RC-1057;100000017;DE;2017-01-18T00:00:00Z;Great as usual; Ipad..nothing to say. I have been using it since last 4 months.
1018;BX-1014;100000018;US;2017-01-19T00:00:00Z;Fake product; Fake Product. received A device Without Serial number. unable To Claim Warranty.
1019;CB-1163;100000019;CA;2017-01-20T00:00:00Z;Bad Quality; Pathetic product. Below standard quality.
1020;CC-1021;100000000;US;2017-01-21T00:00:00Z;Bad battery; Works as expected but battery is a nightmare. This is the worst I ever had. Do not forget your power cable otherwise you cannot use it.
1021;MB-1034;100000014;DE;2017-01-22T00:00:00Z;retuned after 3 months;Had to return the device already after 3 months as the battery could not be recharged. I am very disappointed!!!!
1022;EB-1131;100000023;DE;2017-01-23T00:00:00Z;Bad battery; Do not buy the battery lifetime is unexceptable bad!!!
1023;RC-1051;100000025;CA;2017-01-24T00:00:00Z;;
1024;BX-1013;100000013;CA;2017-01-25T00:00:00Z;Battery Lifetime too short;Should consider exchanging the battery. The lifetime is very bad and far too short.
1025;RO-1001;100000005;DE;2017-01-26T00:00:00Z;Battery is a nogo; Battery is already empty after 1 hour!!! This laptop is absolutally useless.
1026;EB-1131;100000016;CA;2017-01-27T00:00:00Z;Immediate replacement; I need to update my previous review. The display was replaced immedeatley by Amazon and with the new display I have no problems any more. Very good service and display!
1082;RC-1057;100000034;CA;2017-01-28T00:00:00Z;Great product;Great product Apple has done their homeworks. Can be used for 5 hours without charging
1083;CC-1022;100000030;US;2017-01-29T00:00:00Z;Best buy ever; Its a fantastic machine. very smooth touchpad. fine keyboard and awesome performance. Now I will never switch to windows and thanks Amazon for giving too much discount.
1084;BX-1016;100000031;CA;2017-01-30T00:00:00Z;As usual; Great product as usual from apple. I ordered it for my wife. and she is loving it :-)
1085;RC-1054;100000032;DE;2017-01-31T00:00:00Z;Very good; Very good product. Perfectly packed & delivered on time. Working good till now.
1086;MB-1033;100000033;US;2018-01-01T00:00:00Z;Best laptop ever; One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.
1087;CB-1163;100000034;CA;2018-01-02T00:00:00Z;1 star; The Mac was good but the mouse pad are not wrking properly
1088;EB-1132;100000035;DE;2018-01-03T00:00:00Z;Bad!!!; Very bad product. The Serial number on the product and the serial number on the tablet are different.
1089;RC-1055;100000036;US;2018-01-04T00:00:00Z;Worth every penny; Finally a possession. Worth every penny. A must have for all those who can afford. Got it in 50k in Diwali sale
1090;RC-1051;100000037;CA;2018-01-05T00:00:00Z;Really Good; Everything works good and very smooth but the display resolution is moderate and design must be refreshed.
1091;MB-1033;100000038;DE;2018-01-06T00:00:00Z;two stars; Returned this very poor printer and now looking for different printer.
1092;RC-1051;100000039;US;2018-01-07T00:00:00Z;Excellent; Excellent product and good delivery turnaround time by Amazon
1093;RO-1001;100000100;DE;2018-01-08T00:00:00Z;Fake Review;Very bad product (I am a fake review)
1094;DB-1082;100000037;CA;2018-01-09T00:00:00Z;10 stars;Apple forever! Great laptop and great battery lifetime
1027;RO-1001;100000020;DE;2018-01-10T00:00:00Z;Too expensive; Price mismatch. never buying such things on amazon ever again
1028;CB-1161;100000021;US;2018-01-11T00:00:00Z;Defect; very poor. disappointed. Defective product.
1029;CC-1021;100000022;CA;2018-01-12T00:00:00Z;Super; Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI
1030;BX-1011;100000023;DE;2018-01-13T00:00:00Z;Broke after 6 monts; Not good product -: After 6 months it became turn off. It is not starting now.
1031;CB-1162;100000024;US;2018-01-14T00:00:00Z;Not worthy; Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name
1032;CC-1021;100000025;CA;2018-01-15T00:00:00Z;Great; Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time.
1033;CB-1163;100000026;DE;2018-01-16T00:00:00Z;Overpriced; Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility.
1034;HB-1172;100000027;US;2018-01-17T00:00:00Z;Worst table ever; Worst tablet ever not for student use I repeat not for students.
1035;EB-1137;100000028;CA;2018-01-18T00:00:00Z;Too expensive; Price is very high not worthy
1036;CC-1022;100000029;DE;2018-01-19T00:00:00Z;Bad product; bad product. Compatible issue for Microsoft office files. not better than other platform.
1037;CB-1162;100000030;US;2018-01-20T00:00:00Z;Bad Service; Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly.
1038;HB-1172;100000031;CA;2018-01-21T00:00:00Z;Broken; Bad. Received a broken/opened package. most likely a returned package.
1039;BX-1011;100000032;DE;2018-01-22T00:00:00Z;Pathetic; pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult.
1040;HB-1172;100000033;US;2018-01-23T00:00:00Z;Very small but good; small in size. so grip in your palm will not be very comfortable.otherwise good product.
1041;HB-1172;100000034;CA;2018-01-24T00:00:00Z;Bad ergonomic; Not able to hold it properly in hand and edges are also too sharpI recommend to buy other laptop as there are also cheaper laptops on the market
1042;CC-1023;100000035;DE;2018-01-25T00:00:00Z;Very bad; very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive.
1043;RC-1056;100000036;US;2018-01-26T00:00:00Z;Defect; Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact service. Very painful process
1044;MB-1032;100000037;CA;2018-01-27T00:00:00Z;Cartridge too expensive; Very expensive. Cartridge is very expensive....not recommended to buy this product .
1045;HB-1172;100000038;DE;2018-01-28T00:00:00Z;Ok; Average product. too bad for pc users.
1046;CC-1021;100000039;US;2018-01-29T00:00:00Z;Useless; Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount.
1047;EB-1136;100000040;CA;2018-01-30T00:00:00Z;Excellent; 5starsExcellent Product and Service by Amazon and Seller.
1048;RC-1056;100000041;DE;2018-01-31T00:00:00Z;Good; starsGood product but not able to login to Facetime.
1049;RC-1057;100000042;US;2019-01-01T00:00:00Z;5 stars; Very good product. Perfectly packed & delivered on time. Working good till now.
1050;EB-1136;100000043;CA;2019-01-02T00:00:00Z;Best printer; One of the Best printer from this company. Thanks to Amazon for fastest delivery and very Competetive Price.
1051;RC-1057;100000044;DE;2019-01-03T00:00:00Z;Best in clas; There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it.
1052;EB-1134;100000001;CA;2019-01-04T00:00:00Z;Awesome; This is a awesome product. My husband and I love it.
1053;DB-1081;100000002;DE;2019-01-05T00:00:00Z;Great sound; Love the sound that comes out. The laptop has great speakers and battery problems have been resolved.
1054;BX-1016;100000003;US;2019-01-06T00:00:00Z;Great; great device to listen to music.best blue tooth on the market today.I highly recommend it
1055;BX-1016;100000004;CA;2019-01-07T00:00:00Z;5 stars;good price  Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price.
1056;BX-1012;100000005;DE;2019-01-08T00:00:00Z;Outstanding; As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw)
1057;BX-1012;100000006;US;2019-01-09T00:00:00Z;As expected; The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary.
1058;HB-1171;100000007;CA;2019-01-10T00:00:00Z;; Nice Product! Have been using it since for last 3 months now. No issues faced.
1059;EB-1132;100000008;DE;2019-01-11T00:00:00Z;Amazing; Its really amazing. Exactly the same experience which I heard and described.Pinters is really best and affordable to all in broad range of costly competitive products...!!
